target,ref,tcr_concat,tcr_concat_cov
6ZKX,2JCC,44.74885844748859,0.9863636363636363
6ZKX,2NX5,47.465437788018434,0.9818181818181818
6ZKX,2OI9,48.372093023255815,0.9727272727272728
6ZKX,2OL3,32.72727272727273,0.968609865470852
6ZKX,2P5E,86.81818181818181,0.990909090909091
6ZKX,2P5W,87.27272727272727,0.990909090909091
6ZKX,2PYE,89.54545454545455,0.990909090909091
6ZKX,2UWE,44.74885844748859,0.9863636363636363
6ZKX,2VLJ,48.095238095238095,0.9545454545454546
6ZKX,2VLK,48.095238095238095,0.9545454545454546
6ZKX,2VLR,48.57142857142857,0.9545454545454546
6ZKX,2YPL,46.478873239436616,0.9681818181818181
6ZKX,3D39,67.57990867579909,0.9954545454545455
6ZKX,3D3V,67.57990867579909,0.9954545454545455
6ZKX,3DXA,29.953917050691246,0.9772727272727273
6ZKX,3E2H,47.44186046511628,0.9727272727272728
6ZKX,3E3Q,47.44186046511628,0.9727272727272728
6ZKX,3FFC,35.45454545454545,0.9733333333333334
6ZKX,3GSN,66.82027649769586,0.9863636363636363
6ZKX,3H9S,67.57990867579909,0.9954545454545455
6ZKX,3HG1,42.592592592592595,0.9772727272727273
6ZKX,3KPR,32.27272727272727,0.9683257918552036
6ZKX,3KPS,32.27272727272727,0.9683257918552036
6ZKX,3KXF,57.72727272727273,0.9864253393665159
6ZKX,3MV7,46.22641509433962,0.9272727272727272
6ZKX,3MV8,46.698113207547166,0.9272727272727272
6ZKX,3MV9,46.22641509433962,0.9272727272727272
6ZKX,3O4L,39.06976744186046,0.9590909090909091
6ZKX,3PQY,43.1924882629108,0.9636363636363636
6ZKX,3PWP,67.57990867579909,0.9954545454545455
6ZKX,3QDG,57.2093023255814,0.9772727272727273
6ZKX,3QDJ,57.2093023255814,0.9772727272727273
6ZKX,3QDM,50.23696682464455,0.9545454545454546
6ZKX,3QEQ,50.23696682464455,0.9545454545454546
6ZKX,3QFJ,67.57990867579909,0.9954545454545455
6ZKX,3RGV,45.116279069767444,0.9772727272727273
6ZKX,3SJV,61.320754716981135,0.9636363636363636
6ZKX,3TF7,,0.0
6ZKX,3TFK,48.62385321100918,0.9818181818181818
6ZKX,3TJH,48.62385321100918,0.9818181818181818
6ZKX,3TPU,48.62385321100918,0.9818181818181818
6ZKX,3UTS,40.90909090909091,0.9954545454545455
6ZKX,3UTT,40.90909090909091,0.9954545454545455
6ZKX,3VXM,35.45454545454545,0.9732142857142857
6ZKX,3VXR,60.091743119266056,0.9863636363636363
6ZKX,3VXS,60.091743119266056,0.9863636363636363
6ZKX,3VXU,53.24074074074074,0.9727272727272728
6ZKX,3W0W,53.24074074074074,0.9727272727272728
6ZKX,4EUP,48.38709677419355,0.9863636363636363
6ZKX,4FTV,66.66666666666667,0.9954545454545455
6ZKX,4G8G,64.0909090909091,0.9774774774774775
6ZKX,4G9F,64.0909090909091,0.9774774774774775
6ZKX,4JFD,38.888888888888886,0.9772727272727273
6ZKX,4JFE,38.888888888888886,0.9772727272727273
6ZKX,4JFF,38.888888888888886,0.9772727272727273
6ZKX,4JRX,57.3394495412844,0.9772727272727273
6ZKX,4JRY,39.1705069124424,0.9863636363636363
6ZKX,4L3E,56.74418604651163,0.9772727272727273
6ZKX,4MJI,42.924528301886795,0.9590909090909091
6ZKX,4MNQ,67.61904761904762,0.9363636363636364
6ZKX,4MS8,48.62385321100918,0.9818181818181818
6ZKX,4MVB,48.62385321100918,0.9818181818181818
6ZKX,4MXQ,48.62385321100918,0.9818181818181818
6ZKX,4N0C,48.62385321100918,0.9818181818181818
6ZKX,4N5E,48.62385321100918,0.9818181818181818
6ZKX,4NHU,48.83720930232558,0.9727272727272728
6ZKX,4PRH,46.22641509433962,0.9272727272727272
